Name,Phone,Email,Category,Area,Source
"Aum Yoga Studio","9909904990","aumyogastudio.vadodara@gmail.com","Yoga & Wellness","Munjmahuda","gemini-ai"
"The Yoga Institute Vadodara","9909903636","theyogainstitutevadodara@gmail.com","Yoga & Wellness","Sun Pharma Road","gemini-ai"
"Dr. Pratik's Dental Clinic","9909903322","drpratiksdentalclinic@gmail.com","Dental Clinic","Diwalipura","gemini-ai"
"Dr. Jigar Shah's Physiotherapy Clinic","9909988445","drjigarshah@gmail.com","Medical Clinic","Ellora Park","gemini-ai"
"Vcare Pet Clinic","9909900888","vcarepetclinic@gmail.com","Veterinary Clinic","Sevasi","gemini-ai"
"Dr. Jigar Patel's Smile Dental Clinic & Implant Centre","9825044450","drjigarpatel@gmail.com","Dental Clinic","Pandya Bridge","gemini-ai"
"Dr. Chirag Patel's Physiotherapy Clinic","9925035035","drchiragphysio@gmail.com","Physiotherapy","Pandya Bridge","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9909908080","drjigarpatelphysio@gmail.com","Physiotherapy","Tandalja","gemini-ai"
"Dr. Jignesh Patel's Dental Clinic","9825032488","drjigneshpatel@gmail.com","Dental Clinic","Lal Baug","gemini-ai"
"The Yoga Studio Vadodara","9426003000","theyogastudio.vadodara@gmail.com","Yoga & Wellness","Panigate","gemini-ai"
"Dr. Rinkesh Patel's Skin & Hair Clinic","","info@drrinkeshpatel.com","Beauty Clinic","Alkapuri","gemini-ai"
"Dr. Jigar Patel's Physio & Sports Injury Clinic","","drjigarpatelphysio@gmail.com","Physiotherapy","Fatehgunj","gemini-ai"
"Dr. Amit Shah - Ortho Care","9525055667","dramitshah.ortho@gmail.com","Medical Clinic","Alkapuri","gemini-ai"
"Dr. S.K. Gupta Eye Clinic","9325099001","drskgupta.eye@gmail.com","Medical Clinic","Alkapuri","gemini-ai"
"Dr. Meena Sharma - Women's Health Clinic","9025056789","drmeena.womenshealth@gmail.com","Medical Clinic","Alkapuri","gemini-ai"
"Fitness First Gym","9825036000","fitnessfirstgym.baroda@gmail.com","Gym & Fitness","Fatehgunj","gemini-ai"
"Vcare Pet Clinic","9909900810","vcarepetclinic@gmail.com","Veterinary Clinic","Gotri","gemini-ai"
"Carz Care Multi Car Workshop","9909903907","carzcare.vadodara@gmail.com","Auto Repair","Vasna","gemini-ai"
"Dynamic Fitness","9909022334","dynamicfitness.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"Body Sculptors Gym","9979899001","bodysculptors.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"The Workout Station","9825000112","workoutstation.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"Pet's World Veterinary Clinic & Pet Shop","9825082798","petsworldvadodara@gmail.com","Veterinary Clinic","Sama Savli Road","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9825082790","drjigarpatelphysio@gmail.com","Physiotherapy","Sun Pharma Road","gemini-ai"
"Vibrant Sports Academy","9909904433","vibrantsportsacademy@gmail.com","Sports & Recreation","Sevasi","gemini-ai"
"Dr. Ruchi's Skin & Hair Clinic","7947054040","drruchiskinclinic@gmail.com","Beauty Clinic","Tandalja","gemini-ai"
"Dr. Ketan Patel's Skin & Hair Clinic","9825049911","ketanpatel_skin@yahoo.com","Skin Clinic","Panigate","gemini-ai"
"Dr. Patel's Dental Clinic & Implant Centre","","drpatelsdentalclinic@gmail.com","Dental Clinic","Alkapuri","gemini-ai"
"Dr. Agarwal's Eye Hospital","","vadodara@dragarwal.com","Medical Clinic","Fatehgunj","gemini-ai"
"The Glam Studio","","info@theglamstudio.in","Salon & Spa","Gotri","undefined"
"DermaVue Clinic - Dr. Ritesh Patel's Skin & Hair Clinic","","dermavueclinic@gmail.com","Skin Clinic","Alkapuri","gemini-ai"
"CrossFit Vadodara","","info@crossfitvadodara.com","Gym & Fitness","Alkapuri","gemini-ai"
"Carz Care - Multi Car Service Center","","info@carzcare.in","Auto Repair","Alkapuri","gemini-ai"
"VLCC Healthcare Ltd.","9825042800","vadodara@vlccwellness.com","Beauty Clinic","Karelibaug","gemini-ai"
"Perfect Body Gym","9979812345","perfectbody.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"Physique Gym","9979866778","physiquegym.sama@gmail.com","Gym & Fitness","Sama","gemini-ai"
"Shreeji Jewellers","9825103456","shreejijewellersgorwa@gmail.com","Jewellers & Jewellery","Gorwa","gemini-ai"
"Auto Hub Car Care","9909034567","autohubcare@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"The Tyre Shop","9825199001","thetyreshop@email.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Talwalkars Better Value Fitness Ltd.","9825048000","vadodara.newviproad@talwalkars.net","Gym & Fitness","New VIP Road","gemini-ai"
"Pet's World Pet Clinic & Pet Shop","9909000456","petsworldvadodara@gmail.com","Veterinary Clinic","Chhani","gemini-ai"
"Dr. Batra's Healthcare","","customercare@drbatras.com","Beauty Clinic","Sayajigunj","gemini-ai"
"The Thai Spa","","info@thethaispa.com","Salon & Spa","Alkapuri","gemini-ai"
"Gold's Gym","","alkapuri@goldsgym.in","Gym & Fitness","Alkapuri","gemini-ai"
"Fitness First Gym","","info@fitnessfirstgym.in","Gym & Fitness","Alkapuri","gemini-ai"
"The Grand Bhagwati","","vadodara@tgbhotels.com","Restaurant & Cafe","Alkapuri","gemini-ai"
"Mandap Restaurant","","info@expresstowers.in","Restaurant & Cafe","Sayajigunj","gemini-ai"
"Vadodara Tennis Academy","9825046205","vadodaratennisacademy@gmail.com","Sports & Recreation","Fatehgunj","gemini-ai"
"Vadodara Cricket Academy","9825046205","vadodaracricketacademy@gmail.com","Sports & Recreation","Fatehgunj","gemini-ai"
"The Yoga Studio","9909900877","theyogastudio.vadodara@gmail.com","Yoga & Wellness","Bhayli","gemini-ai"
"Bhagyoday Jewellers","9825032503","bhagyodayjewellers@gmail.com","Jewellers & Jewellery","Raopura","gemini-ai"
"The Car Doctor","9727098765","cardr.vadodara@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"The Mechanic Hub","9313022334","mechanichub@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Shakti Tyres & Services","9879533445","shaktityres@email.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Car Craft Auto Service","9377011223","carcraftauto@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Dr. Batra's Hair & Skin Clinic","9229229220","customercare@drbatras.com","Beauty Clinic","Vasna Bhayli Road","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","9825619619","drjigarphysio@gmail.com","Medical Clinic","Ajwa Road","gemini-ai"
"GoMechanic - Chhani (Vadodara)","9311700500","","Auto Repair","Chhani","gemini-ai"
"Dr. Riddhi's Diet & Wellness Clinic","9925046000","drriddhisclinic@gmail.com","Yoga & Wellness","Lal Baug","gemini-ai"
"Azure","","info@suryapalace.com","Restaurant & Cafe","Sayajigunj","gemini-ai"
"The Grand Thakar","","vadodara@tgbhotels.com","Restaurant & Cafe","Alkapuri","gemini-ai"
"Dr. Agarwal's Eye Hospital","","vadodara@dragarwal.com","Medical Clinic","Alkapuri","gemini-ai"
"Vadodara Pet Clinic & Pet Shop","","info@vadodarapetclinic.com","Veterinary Clinic","Alkapuri","gemini-ai"
"Sterling Hospital","","info.vadodara@sterlinghospitals.com","Skin Clinic","Fatehgunj","gemini-ai"
"Sterling Hospital Vadodara","","info.vadodara@sterlinghospitals.com","Diagnostic Center","Alkapuri","gemini-ai"
"Dr. Lal PathLabs - Collection Centre, Fatehgunj","7947100100","","Diagnostic Center","Fatehgunj","gemini-ai"
"The Lounge Bar","","info@expresshotels.co.in","Restaurant & Cafe","Alkapuri","gemini-ai"
"Holistic Health Hub","9825099887","holisticheathhub@gmail.com","Yoga & Wellness","Alkapuri","gemini-ai"
"Dr. Jigar Patel's Dental Clinic","9825048700","drjigarpateldental@gmail.com","Dental Clinic","Vasna","gemini-ai"
"Dr. Jignesh Patel's Dental Clinic","9825628528","drjigneshpateldental@gmail.com","Dental Clinic","Manjalpur","gemini-ai"
"DermaVue Skin & Hair Clinic","9825042626","dermavueclinic@gmail.com","Skin Clinic","Race Course","gemini-ai"
"Dr. Jigar Patel's Dental Clinic","9825040578","drjigarpatel@gmail.com","Dental Clinic","Tarsali","gemini-ai"
"Dr. Darshan Patel's Physiotherapy Clinic","9909907700","drdarshanphysio@gmail.com","Physiotherapy","Raopura","gemini-ai"
"Sai Car Care","9825134567","saicarcare@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Speedy Car Service","9879011223","speedycarservice@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Perfect Wheel Alignment","9377023456","perfectwheel@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Car Zone Service Center","9825567890","carzonevadodara@email.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Mahavir Car Denting Painting","9328056789","mahavircardent@email.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Car Palace Workshop","9925044556","carpalaceworkshop@gmail.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Auto Genius Car Care","9725055667","autogenius@email.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Dietitian Ruchi Shah (Clinic)","9725044556","ruchishahdietitian@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","","drjigarpatelphysio@gmail.com","Physiotherapy","Alkapuri","gemini-ai"
"Dr. Dhaval Patel's Dental Clinic","","info@drpatelsdentalclinic.com","Dental Clinic","Fatehgunj","gemini-ai"
"Yoga with Nidhi","","info@yogawithnidhi.com","Yoga & Wellness","Fatehgunj","gemini-ai"
"Dr. Jigar Patel's Physio Care & Rehabilitation Centre","","drjigarpatelphysiocare@gmail.com","Medical Clinic","Alkapuri","gemini-ai"
"Falak","","H6649-RE@accor.com","Restaurant & Cafe","Fatehgunj","gemini-ai"
"Sterling Hospital Vadodara","","info.vadodara@sterlinghospitals.com","Medical Clinic","Fatehgunj","gemini-ai"
"Dr. Jivraj Mehta Smarak Health Foundation (Kashiba Hospital)","","info@kashibahospital.org","Diagnostic Center","Fatehgunj","gemini-ai"
"Dr. Jigar Patel's Skin & Hair Clinic (DermaVue Clinic)","","info@dermavueclinic.com","Beauty Clinic","Fatehgunj","gemini-ai"
"Kataria Automobiles - Maruti Suzuki Service Center","","info@kataria.co.in","Auto Repair","Sayajigunj","gemini-ai"
"The Pilates Studio by Dr. Ruchi Patel","","info@thepilatesstudio.in","Yoga & Wellness","Alkapuri","gemini-ai"
"Sterling Hospital","","info.vadodara@sterlinghospitals.com","Gym & Fitness","Alkapuri","gemini-ai"
"Peshawri","","reservations.welcomhotelvadodara@itchotels.in","Restaurant & Cafe","Alkapuri","gemini-ai"
"Dr. Rina Patel - ENT Clinic","9125034567","drrinapatel.ent@gmail.com","Medical Clinic","Alkapuri","gemini-ai"
"New Era Car Repair","9712045678","newerarepair@email.com","Auto Repair","Vasna Bhayli Road","gemini-ai"
"Nourish Nurture Diet Clinic","9328044556","nourishnurture@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"Shivalik Dental Clinic (Dr. Dhaval Patel)","9925044450","shivalikdentalclinic@gmail.com","Dental Clinic","Pandya Bridge","gemini-ai"
"Metropolis Healthcare Ltd","9321288133","customercare@metropolisindia.com","Diagnostic Center","Panigate","gemini-ai"
"Dr. Rakesh Patel's Skin & Hair Clinic","","info@drrakeshpatel.com","Beauty Clinic","Sayajigunj","gemini-ai"
"Dr. Dhaval Patel's Dental Clinic","","drdhaval.dental@gmail.com","Medical Clinic","Alkapuri","gemini-ai"
"Art of Living Vadodara","","vadodara@artofliving.org","Yoga & Wellness","Alkapuri","gemini-ai"
"Aura Spa & Salon","9956012345","","Salon & Spa","Vasna","gemini-ai"
"GoMechanic Car Service Vadodara - Sama-Savli Road","8398970970","","Auto Repair","Sama","gemini-ai"
"Shreeji Hospital","9909907700","shreejihospital.vdr@gmail.com","Skin Clinic","Subhanpura","gemini-ai"
"The Chocolate Room","9909900024","","Restaurant & Cafe","Lal Baug","gemini-ai"
"Gotri Polyclinic & Diagnostic Centre","","info@gotripolyclinic.com","Medical Clinic","Gotri","undefined"
"Carz Care - Multi Car Workshop & Service Center","","info@carzcare.in","Auto Repair","Karelibaug","gemini-ai"
"Anytime Fitness","","vadodara.waghodia@anytimefitness.in","Gym & Fitness","Waghodia Road","gemini-ai"
"Dr. Parag's Skin & Laser Clinic","9825042440","","Skin Clinic","Fatehgunj","gemini-ai"
"Dr. Jigar Patel's Skin & Hair Clinic","9909903434","","Skin Clinic","Gotri","gemini-ai"
"Derma Care Skin & Hair Clinic - Dr. Riddhi Patel","9909903435","","Skin Clinic","Gotri","gemini-ai"
"Dr. Jigar's Pet Clinic & Pet Shop","9909923456","","Veterinary Clinic","Bhayli","gemini-ai"
"Carzspa Vadodara","9909900085","","Auto Repair","Sama","gemini-ai"
"Metropolis Healthcare Ltd - Akota","9925199251","customercare@metropolisindia.com","Diagnostic Center","Akota","gemini-ai"
"GoMechanic Makarpura (Vadodara)","8398970970","","Auto Repair","Makarpura","gemini-ai"
"Anytime Fitness Vasna Bhayli Road","","vasnabhayliroad@anytimefitness.in","Sports & Recreation","Vasna Bhayli Road","gemini-ai"
"Dr. Shah's Dental Clinic","9825112345","","Dental Clinic","Ajwa Road","gemini-ai"
"Shree Khodiyar Restaurant & Cafe","8225012345","","Restaurant & Cafe","Khodiyar Nagar","gemini-ai"
"FlexiFit Yoga & Pilates","9586012345","flexifit.yoga@email.com","Yoga & Wellness","Khodiyar Nagar","gemini-ai"
"Lenskart.com","9266006600","","Optical Store","Pandya Bridge","gemini-ai"
"The Arena by The Sports Club","","info@thesportsclub.in","Sports & Recreation","Akota","gemini-ai"
"Anytime Fitness Vadodara","","vadodara@anytimefitness.in","Gym & Fitness","Sun Pharma Road","gemini-ai"
"Carz Care Vadodara","","care@carzcare.in","Auto Repair","Genda Circle","gemini-ai"
"Aarogyam Physiotherapy Clinic","","aarogyamphysio@gmail.com","Physiotherapy","Fatehgunj","gemini-ai"
"SRL Diagnostics - Collection Centre, Fatehgunj","7947100100","","Diagnostic Center","Fatehgunj","gemini-ai"
"Lenskart.com","9909986060","","Optical Store","Alkapuri","gemini-ai"
"Titan Eyeplus","9227299000","","Optical Store","Alkapuri","gemini-ai"
"Lenskart.com","7400001041","","Optical Store","Karelibaug","gemini-ai"
"GKB Opticals","9909992020","","Optical Store","Karelibaug","gemini-ai"
"Tanishq Jewellery","9227299000","","Jewellers & Jewellery","Gotri","gemini-ai"
"Tanishq Jewellery","9099033300","","Jewellers & Jewellery","Vasna","gemini-ai"
"The Glam Room","9876501234","","Salon & Spa","Bhayli","gemini-ai"
"Rejuvenate Spa & Salon","9925098765","","Salon & Spa","Bhayli","gemini-ai"
"Maruti Suzuki Service Center","9825512345","","Auto Repair","Manjalpur","gemini-ai"
"Dr. Jignesh Patel's Pet Clinic","9825519700","","Veterinary Clinic","Sama","gemini-ai"
"Tanishq Jewellery - Sama","7969044999","","Jewellers & Jewellery","Sama","gemini-ai"
"Dr. Jignesh Patel's Pet Clinic & Pet Shop","9825134141","","Veterinary Clinic","Waghodia Road","gemini-ai"
"Lenskart.com Store - Vadodara, Waghodia Road","7969046904","","Optical Store","Waghodia Road","gemini-ai"
"Dr. Rakesh Jain's Skin & Laser Clinic","9825044222","","Skin Clinic","Akota","gemini-ai"
"Dr. Lal PathLabs - Akota","9212125353","customer.care@lalpathlabs.com","Diagnostic Center","Akota","gemini-ai"
"Anytime Fitness","","vadodara@anytimefitness.in","Gym & Fitness","Race Course","gemini-ai"
"Dr. Jignesh Patel's Pet Clinic & Pet Shop","9825042457","","Veterinary Clinic","Race Course","gemini-ai"
