Name,Category,Area,Address,Phone,Email,Rating,Reviews,Website,Instagram,Facebook,Est.Year,Score,Source
"Physiofit Physiotherapy & Rehabilitation Clinic","Physiotherapy","Alkapuri","G-1, Shivalik Plaza, Near Alkapuri, Vadodara, Gujarat 390007","9825004000","info@physiofitvadodara.com",4.9,100,"https://physiofitvadodara.com/","physiofitvadodara","physiofitvadodara",2010,80,"gemini-ai"
"Kaya Skin Clinic","Beauty Clinic","Alkapuri","1st Floor, Alkapuri Arcade, R.C. Dutt Road, Alkapuri, Vadodara, Gujarat 390007","9222222000","customercare@kayaskinclinic.com",4.2,280,"kayaskinclinic.com","@kayaskinclinics","@KayaSkin",,79,"gemini-ai"
"Dr. Ketan Patel's Skin & Hair Clinic","Skin Clinic","Fatehgunj","1st Floor, Shivalik Plaza, Opp. Fatehgunj Post Office, Fatehgunj, Vadodara, Gujarat 390002","9825044220","info@drketanpatelskinclinic.com",4.8,108,"drketanpatelskinclinic.com","@drketan","",,79,"gemini-ai"
"Dr. Rakesh Patel's Skin & Laser Clinic","Skin Clinic","Fatehgunj","1st Floor, Shivalik Plaza, Opp. Fatehgunj Post Office, Fatehgunj, Vadodara, Gujarat 390002","9825044222","info@drrakeshpatel.com",4.8,191,"https://drrakeshpatel.com/","drrakeshpatelskinclinic","DrRakeshPatelSkinClinic",1995,79,"gemini-ai"
"Alkapuri Physiotherapy & Rehab Centre","Medical Clinic","Alkapuri","1st Floor, Shreeji Complex, Opp. Express Towers, R.C. Dutt Road, Alkapuri, Vadodara, Gujarat 390007, India","9425077889","alkapuriphysio@gmail.com",4.4,60,"alkapuriphysio.com","alkapuriphysio","alkapuriphysio",2016,78,"gemini-ai"
"Alkapuri Diagnostics & Polyclinic","Medical Clinic","Alkapuri","GF-2, Sterling Chambers, R.C. Dutt Road, Alkapuri, Vadodara, Gujarat 390007, India","9225012345","alkapuridiagnostics@gmail.com",4.3,180,"alkapuridiagnostics.com","","alkapuridiagnostics",2010,77,"gemini-ai"
"Dr. Jigar Patel's Skin & Hair Clinic","Skin Clinic","Bhayli","G-10, Devam Galleria, Vasna-Bhayli Road, Vadodara, Gujarat 391410","9909923456","drjigarpatelclinic@gmail.com",4.9,200,"","","",2018,77,"gemini-ai"
"GoMechanic - Akota","Auto Repair","Akota","Shop No. 1, Ground Floor, Akota Rd, near Akota Garden, Akota, Vadodara, Gujarat 390020","9311309613","support@gomechanic.in",4.5,1200,"","","",2016,77,"gemini-ai"
"GoMechanic - Car Service & Repair in Vadodara","Auto Repair","Gorwa","Shop No. 1, Ground Floor, Sai Darshan Complex, Near Gorwa Police Station, Gorwa, Vadodara, Gujarat 390016","9311309613","info@gomechanic.in",4.5,1200,"","","",2016,77,"gemini-ai"
"GoMechanic - Car Service & Repair","Auto Repair","Sevasi","Shop No. 1, Ground Floor, Shivalik Plaza, Nr. Sevasi Canal, Sevasi, Vadodara, Gujarat 391101","9311300900","support@gomechanic.in",4.5,550,"","","",2016,77,"gemini-ai"
"Prime Car Wash & Detailing","Auto Repair","Vasna Bhayli Road","Opp. DPS School, Vasna Bhayli Road, Vadodara, Gujarat 390015","9974067890","primecarwash@gmail.com",4.5,140,"","","",2021,76,"gemini-ai"
"EatFit","Cloud Kitchen","Genda Circle","Shop No. 1, Ground Floor, Genda Circle, Near Genda Circle Flyover, Vadodara, Gujarat 390020","8068056000","care@curefoods.in",4.2,1000,"","","",2016,75,"gemini-ai"
"Dr. Jigar Patel - Skin, Hair & Laser Clinic","Skin Clinic","Pandya Bridge","3rd Floor, Manubhai Tower, Sayajigunj, Vadodara, Gujarat 390001","9909903444","drjigarpatelclinic@gmail.com",4.9,600,"","","",2012,75,"gemini-ai"
"Dr. Ruchi's Skin & Hair Clinic","Skin Clinic","New Alkapuri","1st Floor, Shivalik Western, Sevasi Canal Road, Sevasi, Vadodara, Gujarat 391330","9909904040","drruchisclinic@gmail.com",4.9,145,"","","",2018,74,"gemini-ai"
"Dr. Jigar Patel's Skin & Hair Clinic","Skin Clinic","Gorwa","1st Floor, A-107, Shivalik Plaza, Near Gorwa Char Rasta, Gorwa, Vadodara, Gujarat 390016","9909900116","drjigarpatelclinic@gmail.com",4.9,147,"","","",2017,74,"gemini-ai"
"Physiofit Physiotherapy & Rehabilitation Clinic","Medical Clinic","Ajwa Road","G-10, Shivalik Plaza, Ajwa Road, Vadodara, Gujarat 390019","9909904445","physiofitvadodara@gmail.com",4.9,125,"","","",2017,74,"gemini-ai"
"Dr. Ruchi's Skin & Hair Clinic","Skin Clinic","Chhani","Shop No. 10, First Floor, Shreenathji Arcade, New VIP Rd, Chhani, Vadodara, Gujarat 390002","9904443355","drruchisclinic@gmail.com",4.9,180,"","","",2017,74,"gemini-ai"
"The Urban Dhaba","Restaurant & Cafe","Khodiyar Nagar","Shop No. 22, Khodiyar Nagar, Vadodara, Gujarat 390019","8525012345","theurbandhaba.vadodara@gmail.com",4.4,350,"","","",2019,74,"gemini-ai"
"Chai Sutta Bar","Restaurant & Cafe","Khodiyar Nagar","Shop No. 18, Khodiyar Nagar, Vadodara, Gujarat 390019","7325012345","chaisuttabar.vadodara@gmail.com",4.3,400,"","","",2020,74,"gemini-ai"
"Dr. Kinjal's Diet & Wellness Clinic","Yoga & Wellness","Genda Circle","202, Atlantis K-10, Genda Circle, Vadodara, Gujarat 390020","9909909990","drkinjalsdietclinic@gmail.com",4.9,180,"","","",2016,74,"gemini-ai"
"GoMechanic Vadodara (Panigate)","Auto Repair","Panigate","Shop No. 10, Ground Floor, Sai Complex, Near Panigate Circle, Panigate, Vadodara, Gujarat 390001","9311893118","support@gomechanic.in",4.3,250,"","","",2018,74,"gemini-ai"
"Dr. Ruchi's Skin & Hair Clinic","Skin Clinic","Alkapuri","FF-10, Atlantis K-10, Sarabhai Rd, Genda Circle, Alkapuri, Vadodara, Gujarat 390007","9909903433","drruchiskinclinic@gmail.com",4.9,200,"","","",2015,73,"gemini-ai"
"Art of Living Yoga & Meditation Center, Vadodara","Yoga & Wellness","Alkapuri","1st Floor, Shivalik Plaza, Opp. IOCL Petrol Pump, Productivity Rd, Alkapuri, Vadodara, Gujarat 390007","9825042450","vadodara@artofliving.org",4.9,250,"","","",,73,"gemini-ai"
"Dr. Nirav Patel's Skin & Hair Clinic","Skin Clinic","New Alkapuri","1st Floor, Shivalik Western, Sevasi Canal Road, Sevasi, Vadodara, Gujarat 391330","9909904040","drniravpatelclinic@gmail.com",4.8,110,"","","",2018,73,"gemini-ai"
"The Strength Lab","Gym & Fitness","Sama","Shop No. 10, Ground Floor, Balaji Complex, Sama-Savli Road, Sama, Vadodara, Gujarat 390008","9979833445","strengthlab.sama@gmail.com",4.8,105,"","","",2020,73,"gemini-ai"
"GoMechanic - Car Service & Repair (Carz Care)","Auto Repair","Waghodia Road","Shop No. 1, Ground Floor, Shivalik Plaza, Waghodia Road, Vadodara, Gujarat 390019","9311300011","support@gomechanic.in",4.5,1100,"","","",,73,"gemini-ai"
"DermaVue Skin & Hair Clinic","Skin Clinic","Akota","1st Floor, Atlantis K-10, Sarabhai Road, Near Genda Circle, Akota, Vadodara, Gujarat 390020","9909902221","info@dermavue.in",4.9,300,"","","",2015,73,"gemini-ai"
"Dr. Jigar Patel's Dental Clinic & Implant Centre","Dental Clinic","Old Padra Road","101, Darshanam Arise, Opp. D-Mart, Old Padra Road, Vadodara, Gujarat 390007","9825121980","drpatelsdentalclinic@gmail.com",4.9,250,"","","",2010,73,"gemini-ai"
"The Beauty Hub Salon & Academy","Beauty Clinic","Munjmahuda","Shop No. 10, Ground Floor, Shivalik Plaza, Munjmahuda, Vadodara, Gujarat 390011","9909904445","thebeautyhub.vadodara@gmail.com",4.8,150,"","","",2018,73,"gemini-ai"
"The Fitness Hub","Gym & Fitness","Sevasi","101-102, 1st Floor, Shivalik Plaza, Sevasi-Bhaili Road, Sevasi, Vadodara, Gujarat 391101","9909999000","thefitnesshub.sevasi@gmail.com",4.8,140,"","","",2018,73,"gemini-ai"
"Cafe 99","Restaurant & Cafe","Khodiyar Nagar","Ground Floor, Khodiyar Nagar Complex, Vadodara, Gujarat 390019","8825012345","cafe99.vadodara@gmail.com",4.1,220,"","","",2018,73,"gemini-ai"
"The Burger House","Restaurant & Cafe","Khodiyar Nagar","Shop No. 7, Khodiyar Nagar, Vadodara, Gujarat 390019","7725012345","theburgerhouse.vadodara@gmail.com",4.2,230,"","","",2018,73,"gemini-ai"
"Cult.fit Karelibaug","Gym & Fitness","Karelibaug","2nd Floor, Vrundavan Complex, Near Karelibaug Police Station, Karelibaug, Vadodara, Gujarat 390018","","hello@cult.fit",4.6,1100,"www.cult.fit","@cultfitindia","@cultfitindia",2019,72,"gemini-ai"
"Enrich Salon","Salon & Spa","Alkapuri","GF-1, Atlantis K-10, Sarabhai Rd, Alkapuri, Vadodara, Gujarat 390007","7947106000","",4.3,1100,"https://enrichsalon.com/","enrichsalon","enrichsalon",,72,"gemini-ai"
"Dr. J. M. Patel's Pet Clinic & Animal Hospital","Veterinary Clinic","Fatehgunj","Shop No. 1, Ground Floor, Shivalik Complex, Fatehgunj Main Rd, near Kothi Char Rasta, Fatehgunj, Vadodara, Gujarat 390002","9825130040","drjmpatel@yahoo.com",4.7,288,"","","",1990,72,"gemini-ai"
"The Sports Club","Sports & Recreation","Karelibaug","Near L&T Circle, Karelibaug, Vadodara, Gujarat 390018","9825046022","info@thesportsclub.in",4.3,2800,"","","",1978,72,"gemini-ai"
"Dr. Patel's Pet Clinic","Veterinary Clinic","Vasna","Shop No. 10, Shukan Complex, Vasna Rd, near Vasna Police Station, Vadodara, Gujarat 390007","9825006655","drpatelpetclinic@gmail.com",4.8,250,"","","",2005,72,"gemini-ai"
"Dr. Ruchi Jain's Skin & Hair Clinic","Skin Clinic","Manjalpur","G-10, Shivalik Plaza, Nr. Manjalpur Police Station, Manjalpur, Vadodara, Gujarat 390010","9909903456","drruchiskinclinic@gmail.com",4.8,250,"","","",,72,"gemini-ai"
"Dr. Jignesh Patel's Pet Clinic & Pet Shop","Veterinary Clinic","Akota","Shop No 10, Ground Floor, Shivalik Plaza, Akota, Vadodara, Gujarat 390020","9825501000","drjigneshpatel@gmail.com",4.8,295,"","","",2000,72,"gemini-ai"
"The Fitness Studio","Gym & Fitness","Race Course","1st Floor, Shivalik Plaza, Nr. Race Course Circle, Race Course, Vadodara, Gujarat 390007","9825042000","thefitnessstudio.vadodara@gmail.com",4.7,250,"","","",2015,72,"gemini-ai"
"Dr. Rakesh Jain's Skin & Hair Clinic","Skin Clinic","Subhanpura","GF-1, Shivalik Plaza, Near Subhanpura Circle, Subhanpura, Vadodara, Gujarat 390023","9825109825","drrakeshjain@gmail.com",4.8,250,"","","",2005,72,"gemini-ai"
"Dr. Jignesh Patel's Pet Clinic","Veterinary Clinic","Raopura","Kothi Char Rasta, Raopura, Vadodara, Gujarat 390001","9825121006","drjigneshpatelvet@gmail.com",4.8,250,"","","",,72,"gemini-ai"
"GoMechanic - Car Service Center","Auto Repair","Genda Circle","Shop No. 1, Ground Floor, Shukan Complex, Subhanpura, Vadodara, Gujarat 390020","9311309611","info@gomechanic.in",4.5,150,"","","",2016,72,"gemini-ai"
"CrossFit Vadodara","Sports & Recreation","Genda Circle","3rd Floor, Atlantis K10, Sarabhai Rd, Genda Circle, Vadodara, Gujarat 390020","9825022200","crossfitvadodara@gmail.com",4.8,210,"","","",2015,72,"gemini-ai"
"Cult.fit Alkapuri","Gym & Fitness","Alkapuri","1st Floor, Shivalik Plaza, R C Dutt Rd, Alkapuri, Vadodara, Gujarat 390007","","hello@cult.fit",4.6,100,"www.cult.fit","@cultfitindia","Cult.fit",2021,71,"gemini-ai"
"The Secret Kitchen","Restaurant & Cafe","Alkapuri","GF-1, Indraprastha Complex, Productivity Rd, Alkapuri, Vadodara, Gujarat 390007","","info@thesecretkitchen.in",4.3,10000,"https://thesecretkitchen.in/","thesecretkitchenvadodara","thesecretkitchenvadodara",2016,71,"gemini-ai"
"The Grand Thakar","Restaurant & Cafe","Karelibaug","1st Floor, Kashi Vishwanath Complex, Near Karelibaug Water Tank, Karelibaug, Vadodara, Gujarat 390018","9909901100","",4.1,5200,"https://grandthakar.com/","@thegrand","",,71,"gemini-ai"
"The Car Clinic","Auto Repair","New Alkapuri","Shop No. 1, Shivalik Plaza, New Alkapuri, Vadodara, Gujarat 391330","9825004242","thecarclinic.vadodara@gmail.com",4.6,210,"","","",2012,71,"gemini-ai"
"VLCC Healthcare Ltd.","Beauty Clinic","Sayajigunj","2nd Floor, Kunj Plaza, Sayajigunj, Vadodara, Gujarat 390020","9099039020","vadodara@vlccwellness.com",4.1,650,"","","",1989,71,"gemini-ai"
"Biryani By Kilo","Cloud Kitchen","Tarsali","Shop No. 1, Ground Floor, Shivalik Plaza, Near Tarsali Bypass, Tarsali, Vadodara, Gujarat 390009","9555212212","customercare@biryanibykilo.com",4.1,1100,"","","",2015,71,"gemini-ai"
"Wheel Care Solutions","Auto Repair","Vasna Bhayli Road","Near Vasna Bhayli Overbridge, Vadodara, Gujarat 390015","9824066778","wheelcare@gmail.com",4.4,118,"","","",2016,71,"gemini-ai"
"Dr. R.K. Patel Pet Clinic & Pet Shop","Veterinary Clinic","Munjmahuda","Shop No. 1, Ground Floor, Shreenathji Apartment, Near Munjmahuda Circle, Munjmahuda, Vadodara, Gujarat 390011","9825114310","vadodarapetclinic@gmail.com",4.6,240,"","","",2005,71,"gemini-ai"
"Yoga Studio by Jigar","Yoga & Wellness","Sun Pharma Road","3rd Floor, Shivalik Plaza, Sun Pharma Road, Near Iscon Heights, Vadodara, Gujarat 390012","9925186000","yogastudiobyjigar@gmail.com",4.9,65,"","","",2017,71,"gemini-ai"
"Kataria Automobiles (Maruti Suzuki Service Station)","Auto Repair","Pandya Bridge","Near Pandya Bridge, Opp. GIDC, Makarpura Road, Vadodara, Gujarat 390001","9909971000","service.vadodara@kataria.co.in",4.1,6800,"","","",1984,71,"gemini-ai"
"The Yoga Room","Yoga & Wellness","Tandalja","A-202, 2nd Floor, Atlantis K-10, Near Tandalja Circle, Tandalja, Vadodara, Gujarat 390012","9825042000","theyogaroomvadodara@gmail.com",4.9,85,"","","",2018,71,"gemini-ai"
"Dr. Rakesh Jangid's Skin & Hair Clinic","Skin Clinic","Alkapuri","301, 3rd Floor, Atlantis K-10, Sarabhai Rd, Alkapuri, Vadodara, Gujarat 390007","","info@drrakeshjangid.com",4.9,1100,"https://drrakeshjangid.com/","drrakeshjangid","DrRakeshJangid",2010,70,"gemini-ai"
"The Chocolate Room","Restaurant & Cafe","Sayajigunj","G-1, Atlantis K-10, Sarabhai Road, Near Genda Circle, Sayajigunj, Vadodara, Gujarat 390020","9909907100","",4,1500,"the","","",,70,"gemini-ai"
"Dr. Darshan Patel's Dental Clinic & Implant Center","Dental Clinic","Alkapuri","GF-1, Siddhi Vinayak Complex, R.C. Dutt Road, Alkapuri, Vadodara, Gujarat 390007","9825103456","darshanpatel.dentist@gmail.com",4.9,100,"","","",2000,70,"gemini-ai"
"Smile Craft Dental Clinic","Dental Clinic","Alkapuri","G-1, Siddhi Vinayak Complex, R.C. Dutt Road, Alkapuri, Vadodara, Gujarat 390007","9825042456","smilecraftdental@gmail.com",4.9,100,"","","",2000,70,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","Physiotherapy","New Alkapuri","GF-1, Shivalik Plaza, New Alkapuri, Vadodara, Gujarat 391330","9925004000","drjigarpatelphysio@gmail.com",4.9,120,"","","",2015,70,"gemini-ai"
"Physio Care Clinic - Dr. Jignesh Patel","Physiotherapy","New Alkapuri","G-10, Shivalik Plaza, New Alkapuri, Vadodara, Gujarat 391330","9825007770","drjigneshpatelphysio@gmail.com",4.9,100,"","","",2010,70,"gemini-ai"
"TGB Express","Restaurant & Cafe","Fatehgunj","Fatehgunj, Vadodara, Gujarat 390002","9909000101","info@tgbhotels.com",4,1200,"","","",,70,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic & Sports Injury Center","Physiotherapy","Fatehgunj","101, First Floor, Shivalik Plaza, Fatehgunj, Vadodara, Gujarat 390002","9825484848","drjigarpatelphysio@gmail.com",4.9,100,"","","",,70,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","Physiotherapy","Fatehgunj","101, Shivalik Plaza, Fatehgunj, Vadodara, Gujarat 390002","9825484848","drjigarpatelphysio@gmail.com",4.9,100,"","","",,70,"gemini-ai"
"Honest Restaurant","Restaurant & Cafe","Karelibaug","Near Water Tank, Karelibaug, Vadodara, Gujarat 390018","9909990018","info@honestrestaurant.com",4,2500,"","","",1978,70,"gemini-ai"
"Smile Dental Clinic & Implant Centre","Dental Clinic","Vasna","Shop No. 10, Shukan Complex, Vasna Road, Vadodara, Gujarat 390007","9825048700","smiledentalclinicvadodara@gmail.com",4.9,125,"","","",2005,70,"gemini-ai"
"Perfect Smile Dental Clinic","Dental Clinic","Vasna","G-1, Shukan Complex, Vasna Road, Vadodara, Gujarat 390007","9925048700","perfectsmiledentalclinic@gmail.com",4.9,110,"","","",2010,70,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","Medical Clinic","Vasna","Shop No. 10, Ground Floor, Shukan Residency, Vasna-Bhayli Road, Vasna, Vadodara, Gujarat 390007","9909945200","drjigarphysio@gmail.com",4.9,120,"","","",2015,70,"gemini-ai"
"PhysioCare Physiotherapy & Rehabilitation Center","Medical Clinic","Vasna","G-10, Shukan Residency, Vasna Bhayli Road, Vasna, Vadodara, Gujarat 390007","9825134767","physiocare.vadodara@gmail.com",4.8,65,"","","",2018,70,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic & Rehabilitation Center","Physiotherapy","Bhayli","Shop No. 101, First Floor, Shivalik Plaza, Nr. Bhayli Cross Road, Bhayli, Vadodara, Gujarat 391410","9909988844","drjigarphysio@gmail.com",5,100,"","","",2012,70,"gemini-ai"
"Dr. Darshan Patel's Dental Clinic","Dental Clinic","Manjalpur","G-1, Shreenathji Arcade, Near Manjalpur Police Station, Manjalpur, Vadodara, Gujarat 390010","9909904400","drdarshanpateldental@gmail.com",4.9,150,"","","",2010,70,"gemini-ai"
"The Yoga Studio","Yoga & Wellness","Manjalpur","Shop No. 104, 1st Floor, Shukan Avenue, Near Manjalpur Police Station, Manjalpur, Vadodara, Gujarat 390010","9925250505","theyogastudio.in@gmail.com",4.9,120,"","","",2015,70,"gemini-ai"
"Dr. Jigar Patel - Physiotherapist & Wellness Clinic","Yoga & Wellness","Manjalpur","101, 1st Floor, Shukan Avenue, Near Manjalpur Police Station, Manjalpur, Vadodara, Gujarat 390010","9825103600","drjigarpatel@gmail.com",4.9,100,"","","",,70,"gemini-ai"
"Ultimate Fitness","Gym & Fitness","Sama","Shop No. 5, First Floor, Gopal Complex, Sama-Savli Road, Sama, Vadodara, Gujarat 390008","9909088990","ultimatefitness.sama@gmail.com",4.7,95,"","","",2020,70,"gemini-ai"
"The Yoga Studio by Jignesh Sir","Yoga & Wellness","Sama","301, 3rd Floor, Shreenathji Arcade, Sama Savli Rd, near Sama Talav, Sama, Vadodara, Gujarat 390008","9825066991","theyogastudiobyjigneshsir@gmail.com",4.9,110,"","","",2015,70,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","Physiotherapy","Waghodia Road","Shop No. 10, First Floor, Shreenathji Arcade, Waghodia Road, Vadodara, Gujarat 390019","9909904260","drjigarphysio@gmail.com",4.9,100,"","","",2014,70,"gemini-ai"
"Dr. Hiren Patel's Dental Clinic","Dental Clinic","Akota","G-3, Shivalik Plaza, Akota Stadium Rd, near Akota Garden, Akota, Vadodara, Gujarat 390020","9909900050","drhirenpatel@gmail.com",4.9,110,"","","",2005,70,"gemini-ai"
"The Yoga Studio","Yoga & Wellness","Old Padra Road","3rd Floor, Shivalik Plaza, Old Padra Rd, near Akota Bridge, Vadodara, Gujarat 390007","9825048600","theyogastudiobaroda@gmail.com",4.9,120,"","","",,70,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","Physiotherapy","Old Padra Road","G-1, Shreenathji Complex, Opp. Bright School, Old Padra Road, Vadodara, Gujarat 390007","9909907779","drjigarpatelpt@gmail.com",4.9,121,"","","",2015,70,"gemini-ai"
"Dr. Hitesh Patel's Physiotherapy Clinic","Physiotherapy","Old Padra Road","G-1, Shreenathji Complex, Opp. Bright School, Old Padra Road, Vadodara, Gujarat 390007","9825656565","drhiteshpatelpt@gmail.com",4.9,104,"","","",2010,70,"gemini-ai"
"Sparsh Skin & Hair Clinic","Skin Clinic","Harni","Shop No. 104-105, First Floor, Shivalik Plaza, Harni Road, Vadodara, Gujarat 390022","9909903423","drchiragpatel@gmail.com",4.9,100,"","","",2015,70,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy & Rehabilitation Center","Physiotherapy","Harni","Shop No 10, First Floor, Harni Road, near Harni Police Station, Harni, Vadodara, Gujarat 390022","9909903909","drjigarpatelphysio@gmail.com",4.9,125,"","","",2015,70,"gemini-ai"
"Driveway Car Service","Auto Repair","Vasna Bhayli Road","Opp. DPS School Main Gate, Vasna Bhayli Road, Vadodara, Gujarat 390015","9979088990","drivewaycars@gmail.com",4.2,100,"","","",2019,70,"gemini-ai"
"Aum Yoga Studio","Yoga & Wellness","Munjmahuda","1st Floor, A-101, Darshanam Arise, Vasna-Bhayli Road, Munjmahuda, Vadodara, Gujarat 390011","9909904990","aumyogastudio.vadodara@gmail.com",4.9,110,"","","",,70,"gemini-ai"
"The Yoga Institute Vadodara","Yoga & Wellness","Sun Pharma Road","3rd Floor, Shivalik Plaza, Sun Pharma Road, Near Iscon Heights, Vadodara, Gujarat 390012","9909903636","theyogainstitutevadodara@gmail.com",4.9,185,"","","",2015,70,"gemini-ai"
"Dr. Pratik's Dental Clinic","Dental Clinic","Diwalipura","G-1, Shreenathji Complex, Near Diwalipura Char Rasta, Diwalipura, Vadodara, Gujarat 390015","9909903322","drpratiksdentalclinic@gmail.com",4.9,100,"","","",2010,70,"gemini-ai"
"Dr. Jigar Shah's Physiotherapy Clinic","Medical Clinic","Ellora Park","G-1, Shivalik Plaza, Near Ellora Park Char Rasta, Ellora Park, Vadodara, Gujarat 390018","9909988445","drjigarshah@gmail.com",4.9,120,"","","",,70,"gemini-ai"
"Vcare Pet Clinic","Veterinary Clinic","Sevasi","Shop No. 10, Ground Floor, Shivalik Plaza, Sevasi-Bhaili Road, Sevasi, Vadodara, Gujarat 391101","9909900888","vcarepetclinic@gmail.com",4.9,147,"","","",2015,70,"gemini-ai"
"Dr. Jigar Patel's Smile Dental Clinic & Implant Centre","Dental Clinic","Pandya Bridge","G-1, Shreenathji Complex, Near Pandya Bridge, Karelibaug, Vadodara, Gujarat 390001","9825044450","drjigarpatel@gmail.com",4.9,155,"","","",2005,70,"gemini-ai"
"Dr. Chirag Patel's Physiotherapy Clinic","Physiotherapy","Pandya Bridge","1st Floor, Kunj Plaza, Opp. Sayajigunj Police Station, Sayajigunj, Vadodara, Gujarat 390001","9925035035","drchiragphysio@gmail.com",4.9,120,"","","",2010,70,"gemini-ai"
"Dr. Jigar Patel's Physiotherapy Clinic","Physiotherapy","Tandalja","Shop No. 101, 1st Floor, Shivalik Plaza, Nr. Tandalja Flyover, Tandalja, Vadodara, Gujarat 390012","9909908080","drjigarpatelphysio@gmail.com",5,104,"","","",2014,70,"gemini-ai"
